modelo,MAE,MSE,RMSE,R2,MAE_CV,MSE_CV,RMSE_CV,R2_CV
Regressão Linear,0.07074367075129893,0.009770888045034423,0.09884780242895855,0.6274299446019431,0.07513102612381772,0.010589034697767655,0.10290303541571383,0.6386493092995271
Ridge,0.0709014953313327,0.009842082717169142,0.09920727149341999,0.6247152473483235,0.07509575218414731,0.010587880178507626,0.10289742551933759,0.6387371239873515
Lasso,0.07344453946727791,0.010075832271956969,0.10037844525572694,0.6158022310313646,0.07614889604514148,0.01075550195060637,0.10370873613445673,0.6330815259442524
