,PC1,PC2,cluster_kmeans
0,4.160268151992466,4.372939023164367,0
1,3.1363211911862554,-0.30923720220403045,0
2,0.973260831980354,1.38252730893627,0
3,1.202882674721287,2.694690675271968,0
4,-1.583566060479378,0.9756054598608019,1
5,1.1742507124505106,2.3534041571914006,0
6,-3.8387615707335354,0.4843490995231622,1
7,0.17289172271696995,2.038383122169918,1
8,-1.2762605653026116,1.2951262003630255,1
9,1.8280031475833332,0.8966309962626787,0
10,2.916556539403,2.606022793644086,0
11,0.3555110904980356,1.4063109249667223,0
12,2.669862363553288,2.8647800215315926,0
13,1.7212575033781887,1.13983198855265,0
14,-2.4448955256679503,0.3290927692077961,1
15,3.428994367965998,0.06659346322343199,0
16,-0.5695261630842766,-0.09892783179839527,1
17,1.599813978101301,-0.9062031001994078,0
18,-1.2398949490371542,3.1254099218317815,1
19,-1.3300064037657924,-0.8741103701610264,1
20,2.353460757581186,0.794348313611484,0
21,1.0444584053162373,1.3226309689432065,0
22,0.5583756956975078,0.46426277200128235,0
23,-1.6021089934981791,1.302144718733997,1
24,0.04507366259866026,1.1158009084452662,1
25,-0.7845812396123855,0.6718937963185099,1
26,0.7250447390771144,1.210745652871789,0
27,2.4232071078463333,2.3867615304591894,0
28,0.005622107832295762,0.42958099318721454,1
29,1.835664377566481,0.6523480797875277,0
30,1.6691218991331576,0.21579790718708086,0
31,1.2032545265164882,0.5129268819924964,0
32,-0.7277816750162307,1.2771223725350442,1
33,-1.4182336444169332,0.004158511541613389,1
34,1.9653210646002335,-0.0014457968963189356,0
35,-0.4549894210612372,1.0675966734206053,1
36,0.07025994266970095,-0.0883369873892468,1
37,0.8861870815389722,0.029297004152095157,0
38,0.46687286250650983,0.9366137017783399,0
39,2.3375270563019854,-0.10887460988976863,0
40,1.7664380909923136,1.2807276039136668,0
41,1.4432770085171738,0.9379544986951267,0
42,0.6209742034102784,-0.2521733844980949,0
43,-4.164514770612323,1.2203154831540861,1
44,-2.2912486701329944,0.48612429037836563,1
45,-1.6839732245569106,1.6807367268956315,1
46,0.8146332160016018,2.0084657572057667,0
47,2.256685683388928,1.0603963308421749,0
48,1.2709568287829136,0.2159294480081328,0
49,1.917588611463072,0.4527523775913297,0
50,3.257359513752994,2.483970217727634,0
51,-0.9327986971120348,1.6887569287987747,1
52,0.6124056392189237,0.2834149524510711,0
